split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-07-01,SENSEX,ALPHA,CE,83400.0,39,254.01,190.51,349.27,347.52,TARGET,105.76,534.48,72296.13
train,2025-07-02,NIFTY,ALPHA,CE,25400.0,17,149.56,112.17,205.64,204.61,TARGET,109.49,524.6,69561.42
train,2025-07-02,NIFTY,ALPHA,CE,25400.0,18,143.75,107.81,197.65,143.18,THESIS_BROKEN,111.01,394.81,-1271.94
train,2025-07-02,NIFTY,ALPHA,CE,25300.0,20,131.25,98.44,180.47,139.1,THESIS_BROKEN,112.29,424.3,11236.91
train,2025-07-03,NIFTY,BETA,CE,25400.0,26,100.67,75.5,138.42,75.13,STOP,112.03,304.94,-50230.73
train,2025-07-07,SENSEX,ALPHA,PE,83600.0,35,285.52,214.14,392.58,390.62,TARGET,106.48,538.94,72928.48
train,2025-07-08,SENSEX,ALPHA,PE,83600.0,53,187.62,140.71,257.97,256.68,TARGET,106.07,536.39,72567.65
train,2025-07-08,NIFTY,ALPHA,PE,25600.0,20,132.09,99.07,181.62,156.17,THESIS_BROKEN,112.85,473.45,35529.57
train,2025-07-15,BANKEX,ALPHA,PE,64000.0,13,499.58,374.68,686.92,683.48,TARGET,104.39,525.98,71093.13
train,2025-07-09,NIFTY,ALPHA,CE,25400.0,17,149.2,111.9,205.16,204.13,TARGET,109.29,523.42,69397.59
train,2025-07-10,NIFTY,ALPHA,CE,25300.0,20,128.26,96.19,176.36,114.87,THESIS_BROKEN,110.25,354.5,-20545.62
train,2025-07-10,NIFTY,ALPHA,CE,25250.0,23,114.22,85.67,157.06,156.27,TARGET,112.36,541.3,71880.36
train,2025-07-14,SENSEX,ALPHA,CE,81900.0,30,325.42,244.07,447.46,399.04,THESIS_BROKEN,104.58,474.84,43593.03
train,2025-07-14,SENSEX,ALPHA,CE,81900.0,29,340.03,255.02,467.54,465.21,TARGET,105.39,532.12,71963.57
train,2025-07-15,SENSEX,ALPHA,PE,82600.0,43,227.92,170.94,313.39,311.82,TARGET,104.88,529.01,71522.73
train,2025-07-15,SENSEX,ALPHA,PE,82600.0,44,227.04,170.28,312.18,310.62,TARGET,106.44,538.77,72904.4
train,2025-07-15,SENSEX,ALPHA,PE,82700.0,39,254.76,191.07,350.29,190.11,STOP,106.0,303.07,-50832.44
train,2025-07-15,SENSEX,ALPHA,CE,82400.0,46,216.08,162.06,297.12,161.25,STOP,106.04,303.2,-50854.05
train,2025-07-16,NIFTY,ALPHA,PE,25300.0,22,118.05,88.54,162.32,161.51,TARGET,111.32,535.38,71058.82
train,2025-07-17,SENSEX,ALPHA,PE,82700.0,28,356.44,267.33,490.11,487.66,TARGET,106.37,538.27,72836.29
train,2025-07-24,BANKEX,ALPHA,CE,63300.0,15,428.56,321.42,589.27,525.11,DAYLIGHT,103.58,468.96,42875.52
train,2025-07-18,NIFTY,GAMMA,PE,25050.0,17,148.72,111.54,204.49,203.47,TARGET,109.01,521.81,69172.31
train,2025-07-21,SENSEX,ALPHA,CE,81400.0,32,310.29,232.72,426.65,424.51,TARGET,105.95,535.64,72462.26
train,2025-07-21,SENSEX,ALPHA,CE,81800.0,29,334.84,251.13,460.4,458.1,TARGET,104.14,524.36,70864.03
train,2025-07-21,SENSEX,ALPHA,CE,81800.0,30,333.12,249.84,458.05,330.64,THESIS_BROKEN,106.49,397.48,-1995.27
train,2025-07-21,SENSEX,GAMMA,PE,82200.0,39,253.62,190.21,348.72,189.26,STOP,105.63,301.83,-50604.41
train,2025-07-21,NIFTY,ALPHA,PE,25150.0,20,131.12,98.34,180.29,153.48,THESIS_BROKEN,112.19,465.72,32960.21
train,2025-07-22,FINNIFTY,ALPHA,CE,26900.0,20,240.64,180.48,330.87,292.23,THESIS_BROKEN,110.32,472.56,40693.52
train,2025-07-21,NIFTY,ALPHA,PE,25150.0,21,124.78,93.59,171.58,93.12,STOP,112.13,305.27,-50288.11
train,2025-07-22,NIFTY,ALPHA,CE,24950.0,19,139.61,104.71,191.97,191.01,TARGET,113.21,546.32,72577.87
train,2025-07-23,NIFTY,ALPHA,CE,25000.0,21,126.72,95.04,174.24,134.13,THESIS_BROKEN,113.5,429.29,11121.66
train,2025-07-29,BANKEX,ALPHA,PE,62500.0,1,187.35,140.51,257.61,256.32,TARGET,18.92,37.17,2012.98
train,2025-07-23,NIFTY,ALPHA,CE,25000.0,20,127.16,95.37,174.84,173.97,TARGET,109.51,524.74,69581.91
train,2025-07-23,NIFTY,ALPHA,CE,25050.0,24,107.76,80.82,148.16,147.42,TARGET,110.96,533.22,70757.64
train,2025-07-29,BANKEX,ALPHA,PE,62500.0,32,202.88,152.16,278.97,277.57,TARGET,104.36,525.81,71069.04
train,2025-07-23,NIFTY,ALPHA,PE,25300.0,25,105.42,79.07,144.96,103.98,THESIS_BROKEN,112.64,397.99,-3222.82
train,2025-07-24,NIFTY,GAMMA,PE,25200.0,23,113.92,85.44,156.63,85.01,STOP,112.12,305.21,-50280.5
train,2025-07-25,SENSEX,ALPHA,CE,81400.0,23,418.13,313.6,574.93,468.25,THESIS_BROKEN,103.36,429.55,22519.99
train,2025-07-25,SENSEX,ALPHA,CE,81300.0,23,422.66,317.0,581.16,434.62,THESIS_BROKEN,104.22,400.4,4993.3
train,2025-07-25,NIFTY,GAMMA,PE,25000.0,16,165.09,123.82,227.0,207.96,THESIS_BROKEN,112.84,502.84,50824.72
train,2025-07-25,FINNIFTY,GAMMA,PE,26900.0,27,180.05,135.04,247.57,187.06,THESIS_BROKEN,111.18,411.58,7050.2
train,2025-07-28,BANKNIFTY,ALPHA,CE,55800.0,33,399.21,299.41,548.92,546.17,TARGET,112.61,542.8,72089.75
train,2025-07-29,SENSEX,ALPHA,PE,81100.0,41,238.66,178.99,328.15,178.1,STOP,104.75,298.84,-50061.94
train,2025-07-29,SENSEX,ALPHA,PE,81100.0,51,192.59,144.44,264.81,263.48,TARGET,105.06,530.12,71679.21
train,2025-07-29,SENSEX,ALPHA,PE,81100.0,40,245.78,184.34,337.95,336.26,TARGET,105.14,530.61,71747.64
train,2025-07-30,NIFTY,ALPHA,CE,24750.0,21,124.78,93.59,171.58,170.72,TARGET,112.13,539.97,71697.27
train,2025-07-30,BANKNIFTY,ALPHA,PE,56400.0,60,219.03,164.27,301.17,299.66,TARGET,112.39,541.54,71914.11
train,2025-07-31,BANKNIFTY,ALPHA,CE,55400.0,64,207.72,155.79,285.62,233.78,THESIS_BROKEN,113.43,454.59,24441.18
train,2025-07-31,FINNIFTY,ALPHA,PE,26800.0,38,128.79,96.59,177.08,176.2,TARGET,111.77,537.94,71413.62
train,2025-07-31,BANKNIFTY,BETA,CE,56100.0,59,222.77,167.08,306.31,304.78,TARGET,112.4,541.61,71923.02
train,2025-08-07,BANKEX,ALPHA,CE,61000.0,7,880.92,660.69,1211.27,996.04,THESIS_BROKEN,100.31,417.81,23657.24
train,2025-08-04,NIFTY,ALPHA,CE,24500.0,14,187.7,140.78,258.09,256.8,TARGET,112.38,541.43,71899.65
train,2025-08-04,SENSEX,ALPHA,PE,81100.0,31,319.35,239.51,439.11,238.32,STOP,105.71,302.07,-50649.83
train,2025-08-05,SENSEX,ALPHA,CE,80400.0,45,218.06,163.55,299.84,257.21,THESIS_BROKEN,104.99,459.87,34664.29
train,2025-08-05,NIFTY,ALPHA,CE,24500.0,18,142.82,107.12,196.38,195.4,TARGET,110.44,530.2,70338.42
train,2025-08-05,NIFTY,ALPHA,CE,24500.0,18,146.08,109.56,200.86,199.86,TARGET,112.44,541.74,71943.01
train,2025-08-05,NIFTY,ALPHA,CE,24500.0,18,141.5,106.13,194.57,193.6,TARGET,109.65,525.51,69687.91
